x_position,y_position,z_position,ray_tracing_signal,path_loss_signal,difference
0.0,0.0,1.5,-70.21634572306877,-47.21634572306877,-23.0
0.0,2.0,1.5,-69.5304991990055,-46.530499199005504,-23.0
0.0,4.0,1.5,-64.80898992025112,-45.80898992025112,-19.0
0.0,6.0,1.5,-64.05453017607087,-45.05453017607087,-19.0
0.0,8.0,1.5,-63.274374794026755,-44.274374794026755,-19.0
0.0,10.0,1.5,-62.48338400507296,-43.48338400507296,-19.0
0.0,12.0,1.5,-61.708299799543,-42.708299799543,-19.0
0.0,14.0,1.5,-60.99242509439324,-41.99242509439324,-19.0
0.0,16.0,1.5,-60.39758994371891,-41.39758994371891,-19.0
0.0,18.0,1.5,-59.99718880828581,-40.99718880828581,-19.0
0.0,20.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
0.0,22.0,1.5,-59.99718880828581,-40.99718880828581,-19.0
0.0,24.0,1.5,-60.39758994371891,-41.39758994371891,-19.0
0.0,26.0,1.5,-60.99242509439324,-41.99242509439324,-19.0
0.0,28.0,1.5,-61.708299799543,-42.708299799543,-19.0
0.0,30.0,1.5,-62.48338400507296,-43.48338400507296,-19.0
0.0,32.0,1.5,-63.274374794026755,-44.274374794026755,-19.0
0.0,34.0,1.5,-64.05453017607087,-45.05453017607087,-19.0
0.0,36.0,1.5,-64.80898992025112,-45.80898992025112,-19.0
0.0,38.0,1.5,-69.5304991990055,-46.530499199005504,-23.0
0.0,40.0,1.5,-70.09787519645937,-47.09787519645937,-23.0
0.0,42.0,1.5,-70.61487777371897,-47.61487777371897,-23.0
0.0,44.0,1.5,-71.13126596361596,-48.13126596361596,-23.0
0.0,46.0,1.5,-71.64110033939446,-48.641100339394455,-23.0
0.0,48.0,1.5,-72.1404152312746,-49.1404152312746,-23.0
0.0,50.0,1.5,-72.6267050300226,-49.626705030022606,-23.0
0.0,52.0,1.5,-73.09851342537897,-50.09851342537897,-23.0
0.0,54.0,1.5,-73.53183955319815,-50.531839553198154,-23.0
0.0,56.0,1.5,-73.75922119858524,-50.75922119858524,-23.0
0.0,58.0,1.5,-74.00330132839272,-51.00330132839272,-23.0
0.0,60.0,1.5,-74.26078659583743,-51.26078659583743,-23.0
0.0,62.0,1.5,-74.5286691597139,-51.5286691597139,-23.0
0.0,64.0,1.5,-74.8042664683768,-51.804266468376795,-23.0
0.0,66.0,1.5,-75.08523393694685,-52.08523393694685,-23.0
0.0,68.0,1.5,-75.36955786093705,-52.36955786093705,-23.0
0.0,70.0,1.5,-75.65553523146846,-52.65553523146846,-23.0
0.0,72.0,1.5,-75.94174591050373,-52.94174591050373,-23.0
0.0,74.0,1.5,-76.22702128882662,-53.22702128882662,-23.0
0.0,76.0,1.5,-76.51041232032185,-53.51041232032185,-23.0
0.0,78.0,1.5,-76.79115881131537,-53.79115881131537,-23.0
0.0,80.0,1.5,-77.04446873387468,-54.04446873387468,-23.0
0.0,82.0,1.5,-77.28709326605076,-54.28709326605076,-23.0
0.0,84.0,1.5,-77.52929361259902,-54.52929361259902,-23.0
0.0,86.0,1.5,-77.77044191571531,-54.77044191571531,-23.0
0.0,88.0,1.5,-78.01001507642087,-55.01001507642087,-23.0
0.0,90.0,1.5,-78.24758172802473,-55.24758172802473,-23.0
0.0,92.0,1.5,-78.48279019188101,-55.48279019188101,-23.0
0.0,94.0,1.5,-78.71535754265483,-55.71535754265483,-23.0
0.0,96.0,1.5,-78.91136947259236,-55.911369472592355,-23.0
0.0,98.0,1.5,-79.07509617308096,-56.075096173080965,-23.0
0.0,100.0,1.5,-79.24124146070392,-56.24124146070392,-23.0
2.0,0.0,1.5,-69.9049211281436,-46.9049211281436,-23.0
2.0,2.0,1.5,-69.16348676831916,-46.16348676831916,-23.0
2.0,4.0,1.5,-64.37220617298584,-45.37220617298584,-19.0
2.0,6.0,1.5,-63.529681046902226,-44.529681046902226,-19.0
2.0,8.0,1.5,-62.63833269629549,-43.63833269629549,-19.0
2.0,10.0,1.5,-61.708299799543,-42.708299799543,-19.0
2.0,12.0,1.5,-60.764171854595105,-41.764171854595105,-19.0
2.0,14.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
2.0,16.0,1.5,-59.065068647154305,-40.065068647154305,-19.0
2.0,18.0,1.5,-54.51137197483072,-39.51137197483072,-15.0
2.0,20.0,1.5,-54.30992392966587,-39.30992392966587,-15.0
2.0,22.0,1.5,-54.51137197483072,-39.51137197483072,-15.0
2.0,24.0,1.5,-59.065068647154305,-40.065068647154305,-19.0
2.0,26.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
2.0,28.0,1.5,-60.764171854595105,-41.764171854595105,-19.0
2.0,30.0,1.5,-61.708299799543,-42.708299799543,-19.0
2.0,32.0,1.5,-62.63833269629549,-43.63833269629549,-19.0
2.0,34.0,1.5,-63.529681046902226,-44.529681046902226,-19.0
2.0,36.0,1.5,-64.37220617298584,-45.37220617298584,-19.0
2.0,38.0,1.5,-65.01194185424151,-46.01194185424151,-19.0
2.0,40.0,1.5,-69.58876204914782,-46.58876204914782,-23.0
2.0,42.0,1.5,-70.16596783789973,-47.16596783789973,-23.0
2.0,44.0,1.5,-70.73505339146351,-47.73505339146351,-23.0
2.0,46.0,1.5,-71.2905970545784,-48.2905970545784,-23.0
2.0,48.0,1.5,-71.82937802270237,-48.82937802270237,-23.0
2.0,50.0,1.5,-72.3496912402797,-49.3496912402797,-23.0
2.0,52.0,1.5,-72.8234533479804,-49.823453347980404,-23.0
2.0,54.0,1.5,-73.05531043474247,-50.055310434742466,-23.0
2.0,56.0,1.5,-73.30830764554958,-50.308307645549576,-23.0
2.0,58.0,1.5,-73.57827825615396,-50.578278256153965,-23.0
2.0,60.0,1.5,-73.86139138409683,-50.861391384096834,-23.0
2.0,62.0,1.5,-74.15422634556325,-51.154226345563245,-23.0
2.0,64.0,1.5,-74.45380239235388,-51.45380239235388,-23.0
2.0,66.0,1.5,-74.75757553177249,-51.75757553177249,-23.0
2.0,68.0,1.5,-75.0634134743051,-52.063413474305094,-23.0
2.0,70.0,1.5,-75.36955786093705,-52.36955786093705,-23.0
2.0,72.0,1.5,-75.67458065519497,-52.67458065519497,-23.0
2.0,74.0,1.5,-75.97733945951487,-52.977339459514866,-23.0
2.0,76.0,1.5,-76.27693476803927,-53.27693476803927,-23.0
2.0,78.0,1.5,-76.54554250029955,-53.54554250029955,-23.0
2.0,80.0,1.5,-76.80216638671467,-53.802166386714674,-23.0
2.0,82.0,1.5,-77.05830942223582,-54.05830942223582,-23.0
2.0,84.0,1.5,-77.31323351880695,-54.31323351880695,-23.0
2.0,86.0,1.5,-77.56633058776629,-54.56633058776629,-23.0
2.0,88.0,1.5,-77.81710541650608,-54.81710541650608,-23.0
2.0,90.0,1.5,-78.06515994643931,-55.06515994643931,-23.0
2.0,92.0,1.5,-78.31017911870458,-55.31017911870458,-23.0
2.0,94.0,1.5,-78.51502228596468,-55.515022285964676,-23.0
2.0,96.0,1.5,-78.68458366849467,-55.68458366849467,-23.0
2.0,98.0,1.5,-78.85691532711957,-55.856915327119566,-23.0
2.0,100.0,1.5,-79.03145086064234,-56.03145086064234,-23.0
4.0,0.0,1.5,-69.64625360887743,-46.64625360887743,-23.0
4.0,2.0,1.5,-64.85491706148247,-45.85491706148247,-19.0
4.0,4.0,1.5,-63.99924930469385,-44.99924930469385,-19.0
4.0,6.0,1.5,-63.07253658332161,-44.07253658332161,-19.0
4.0,8.0,1.5,-62.06995008179487,-43.06995008179487,-19.0
4.0,10.0,1.5,-60.99242509439324,-41.99242509439324,-19.0
4.0,12.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
4.0,14.0,1.5,-54.7038885825431,-39.7038885825431,-15.0
4.0,16.0,1.5,-53.64260334851798,-38.64260334851798,-15.0
4.0,18.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
4.0,20.0,1.5,-52.55545010206612,-37.55545010206612,-15.0
4.0,22.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
4.0,24.0,1.5,-53.64260334851798,-38.64260334851798,-15.0
4.0,26.0,1.5,-54.7038885825431,-39.7038885825431,-15.0
4.0,28.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
4.0,30.0,1.5,-60.99242509439324,-41.99242509439324,-19.0
4.0,32.0,1.5,-62.06995008179487,-43.06995008179487,-19.0
4.0,34.0,1.5,-63.07253658332161,-44.07253658332161,-19.0
4.0,36.0,1.5,-63.800029357655916,-44.800029357655916,-19.0
4.0,38.0,1.5,-64.44812265495716,-45.44812265495716,-19.0
4.0,40.0,1.5,-69.09918536194277,-46.09918536194277,-23.0
4.0,42.0,1.5,-69.74041328239957,-46.74041328239957,-23.0
4.0,44.0,1.5,-70.36406521918735,-47.36406521918735,-23.0
4.0,46.0,1.5,-70.96586608456548,-47.96586608456548,-23.0
4.0,48.0,1.5,-71.54380944250707,-48.54380944250707,-23.0
4.0,50.0,1.5,-72.06471928766618,-49.06471928766618,-23.0
4.0,52.0,1.5,-72.29831004564727,-49.29831004564727,-23.0
4.0,54.0,1.5,-72.55909040050909,-49.55909040050909,-23.0
4.0,56.0,1.5,-72.84173464756196,-49.841734647561964,-23.0
4.0,58.0,1.5,-73.14129086868519,-50.14129086868519,-23.0
4.0,60.0,1.5,-73.45332089797307,-50.45332089797307,-23.0
4.0,62.0,1.5,-73.77396492526503,-50.773964925265034,-23.0
4.0,64.0,1.5,-74.09994942968544,-51.09994942968544,-23.0
4.0,66.0,1.5,-74.42855722876865,-51.42855722876865,-23.0
4.0,68.0,1.5,-74.75757553177249,-51.75757553177249,-23.0
4.0,70.0,1.5,-75.08523393694685,-52.08523393694685,-23.0
4.0,72.0,1.5,-75.41014049941643,-52.41014049941643,-23.0
4.0,74.0,1.5,-75.73122086877657,-52.731220868776575,-23.0
4.0,76.0,1.5,-76.01703657822759,-53.01703657822759,-23.0
4.0,78.0,1.5,-76.28932401638625,-53.289324016386246,-23.0
4.0,80.0,1.5,-76.56106516110148,-53.56106516110148,-23.0
4.0,82.0,1.5,-76.83138424824935,-53.83138424824935,-23.0
4.0,84.0,1.5,-77.09956878279388,-54.09956878279388,-23.0
4.0,86.0,1.5,-77.36504669155875,-54.365046691558746,-23.0
4.0,88.0,1.5,-77.62736551161208,-54.62736551161208,-23.0
4.0,90.0,1.5,-77.88617383199124,-54.88617383199124,-23.0
4.0,92.0,1.5,-78.10063224457605,-55.10063224457605,-23.0
4.0,94.0,1.5,-78.27638424101588,-55.276384241015876,-23.0
4.0,96.0,1.5,-78.45532878371344,-55.45532878371344,-23.0
4.0,98.0,1.5,-78.63680930079249,-55.63680930079249,-23.0
4.0,100.0,1.5,-78.82022950633419,-55.82022950633419,-23.0
6.0,0.0,1.5,-69.45157923390448,-46.45157923390448,-23.0
6.0,2.0,1.5,-64.62026472909238,-45.62026472909238,-19.0
6.0,4.0,1.5,-63.71177003257088,-44.71177003257088,-19.0
6.0,6.0,1.5,-62.71378206088892,-43.71378206088892,-19.0
6.0,8.0,1.5,-61.61297756814679,-42.61297756814679,-19.0
6.0,10.0,1.5,-60.39758994371891,-41.39758994371891,-19.0
6.0,12.0,1.5,-59.065068647154305,-40.065068647154305,-19.0
6.0,14.0,1.5,-53.64260334851798,-38.64260334851798,-15.0
6.0,16.0,1.5,-52.23508778206303,-37.23508778206303,-15.0
6.0,18.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
6.0,20.0,1.5,-50.64730494330223,-35.64730494330223,-15.0
6.0,22.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
6.0,24.0,1.5,-52.23508778206303,-37.23508778206303,-15.0
6.0,26.0,1.5,-53.64260334851798,-38.64260334851798,-15.0
6.0,28.0,1.5,-59.065068647154305,-40.065068647154305,-19.0
6.0,30.0,1.5,-60.39758994371891,-41.39758994371891,-19.0
6.0,32.0,1.5,-61.61297756814679,-42.61297756814679,-19.0
6.0,34.0,1.5,-62.44376735800819,-43.44376735800819,-19.0
6.0,36.0,1.5,-63.1746281361487,-44.1746281361487,-19.0
6.0,38.0,1.5,-63.914985807958004,-44.914985807958004,-19.0
6.0,40.0,1.5,-64.64430877566423,-45.64430877566423,-19.0
6.0,42.0,1.5,-69.35086875423767,-46.350868754237666,-23.0
6.0,44.0,1.5,-70.02869790795737,-47.028697907957365,-23.0
6.0,46.0,1.5,-70.67538124865868,-47.67538124865868,-23.0
6.0,48.0,1.5,-71.25130893302173,-48.25130893302173,-23.0
6.0,50.0,1.5,-71.48187691604997,-48.48187691604997,-23.0
6.0,52.0,1.5,-71.74800899484549,-48.74800899484549,-23.0
6.0,54.0,1.5,-72.04284731285549,-49.042847312855486,-23.0
6.0,56.0,1.5,-72.3598949332414,-49.35989493324141,-23.0
6.0,58.0,1.5,-72.69328309541916,-49.69328309541916,-23.0
6.0,60.0,1.5,-73.0379081782738,-50.037908178273796,-23.0
6.0,62.0,1.5,-73.38946758406479,-50.38946758406479,-23.0
6.0,64.0,1.5,-73.74442724834097,-50.74442724834097,-23.0
6.0,66.0,1.5,-74.09994942968544,-51.09994942968544,-23.0
6.0,68.0,1.5,-74.45380239235388,-51.45380239235388,-23.0
6.0,70.0,1.5,-74.8042664683768,-51.804266468376795,-23.0
6.0,72.0,1.5,-75.15004513548399,-52.15004513548399,-23.0
6.0,74.0,1.5,-75.45534721480865,-52.455347214808654,-23.0
6.0,76.0,1.5,-75.74526624898198,-52.74526624898198,-23.0
6.0,78.0,1.5,-76.03456393638646,-53.03456393638646,-23.0
6.0,80.0,1.5,-76.32219025677159,-53.32219025677159,-23.0
6.0,82.0,1.5,-76.60730300526777,-53.60730300526777,-23.0
6.0,84.0,1.5,-76.88923679868594,-53.88923679868594,-23.0
